Datetime,Equity_Value,Date
2017-10-30 10:44:00,1094745.05,2017-10-30
2017-10-30 10:45:00,1094742.3,2017-10-30
2017-10-30 10:46:00,1094747.25,2017-10-30
2017-10-30 10:47:00,1094745.9,2017-10-30
2017-10-30 10:48:00,1094749.45,2017-10-30
2017-10-30 10:49:00,1094747.75,2017-10-30
2017-10-30 10:50:00,1094748.15,2017-10-30
2017-10-30 10:51:00,1094748.95,2017-10-30
2017-10-30 10:52:00,1094749.65,2017-10-30
2017-10-30 10:53:00,1094750.65,2017-10-30
2017-10-30 10:54:00,1094746.7,2017-10-30
2017-10-30 10:55:00,1094746.5,2017-10-30
2017-10-30 10:56:00,1094746.5,2017-10-30
2017-10-30 10:57:00,1094746.1,2017-10-30
2017-10-30 10:58:00,1094745.55,2017-10-30
2017-10-30 10:59:00,1094745.75,2017-10-30
2017-10-30 11:00:00,1094747.75,2017-10-30
2017-10-30 11:01:00,1094747.0,2017-10-30
2017-10-30 11:02:00,1094749.2,2017-10-30
2017-10-30 11:03:00,1094749.1,2017-10-30
2017-10-30 11:04:00,1094746.0,2017-10-30
2017-10-30 11:05:00,1094746.1,2017-10-30
2017-10-30 11:06:00,1094746.05,2017-10-30
2017-10-30 11:07:00,1094746.35,2017-10-30
2017-10-30 11:08:00,1094743.7,2017-10-30
2017-10-30 11:09:00,1094747.8,2017-10-30
2017-10-30 11:10:00,1094746.8,2017-10-30
2017-10-30 11:11:00,1094744.65,2017-10-30
2017-10-30 11:12:00,1094745.85,2017-10-30
2017-10-30 11:13:00,1094745.35,2017-10-30
2017-10-30 11:14:00,1094746.9,2017-10-30
2017-10-30 11:15:00,1094746.0,2017-10-30
2017-10-30 11:16:00,1094748.1,2017-10-30
2017-10-30 11:17:00,1094749.4,2017-10-30
2017-10-30 11:18:00,1094748.4,2017-10-30
2017-10-30 11:19:00,1094747.75,2017-10-30
2017-10-30 11:20:00,1094748.75,2017-10-30
2017-10-30 11:21:00,1094748.45,2017-10-30
2017-10-30 11:22:00,1094747.85,2017-10-30
2017-10-30 11:23:00,1094747.35,2017-10-30
2017-10-30 11:24:00,1094746.35,2017-10-30
2017-10-30 11:25:00,1094747.35,2017-10-30
2017-10-30 11:26:00,1094747.2,2017-10-30
2017-10-30 11:27:00,1094747.05,2017-10-30
2017-10-30 11:28:00,1094746.3,2017-10-30
2017-10-30 11:29:00,1094743.7,2017-10-30
2017-10-30 11:30:00,1094744.2,2017-10-30
2017-10-30 11:31:00,1094747.85,2017-10-30
2017-10-30 11:32:00,1094747.6,2017-10-30
2017-10-30 11:33:00,1094746.85,2017-10-30
2017-10-30 11:34:00,1094747.9,2017-10-30
2017-10-30 11:35:00,1094744.25,2017-10-30
2017-10-30 11:36:00,1094746.7,2017-10-30
2017-10-30 11:37:00,1094746.25,2017-10-30
2017-10-30 11:38:00,1094746.5,2017-10-30
2017-10-30 11:39:00,1094748.1,2017-10-30
2017-10-30 11:40:00,1094744.3,2017-10-30
